id,name,url,address,city,state,zip,lat,long
1,Birmingham Botanical Gardens,https://www.bbgardens.org/,2612 Lane Park Road,Birmingham,AL,35223,33.4925140904989,-86.774567445665
2,B & B Cactus Farm,http://www.bandbcactus.com/,11550 E Speedway Blvd,Tuscon,AZ,85748,32.2353784897959,-110.745523959184
3,Bach's Cactus Nursery,,8602 N Thornydale Rd,Tuscon,AZ,85742,32.361412504309,-111.046771
4,Desert Survivors Nursery,,1020 W. Starr Pass,Tuscon,AZ,85713,32.207026,-110.987108
5,Plants for the Southwest,,50 East Blacklidge Drive,Tuscon,AZ,85705,32.2611504554077,-110.971401857731
6,Spadefoot Nursery,https://www.spadefootnursery.com/,2831 East Broadway Boulevard,Tuscon,AZ,85716,32.2216013989777,-110.93034630337
7,Starr Nursery,https://starr-nursery.com/,3340 W Ruthann Rd,Tuscon,AZ,85745,32.2637092633498,-111.037057820646
8,Holland Wildflower Farm,https://hollandwildflowerfarm.com/,290 Oneal Ln.,Elkins,AR,72727,35.9976932,-94.0177545
9,River Valley Horticultural,,21701 Lawson Road,Little Rock,AR,72210,34.7176834160223,-92.5172400472104
10,White River Nursery,http://whiterivernursery.com,5635 E. Huntsville Rd,Fayetteville,AR,72701,36.0463968238534,-94.0799923339731
11,Central Coast Wilds,http://centralcoastwilds.com/,336 Golf Club Dr,Santa Cruz,CA,95060,36.9901541157367,-122.036483722858
12,Las Pilitas Nursery,https://www.laspilitas.com/,3232 Las Pilitas Rd,Santa Margarita,CA,93453,35.3718154570678,-120.447863795758
13,Tree of Life Nursery,https://californianativeplants.com/,33201 Ortega Highway,San Juan Capistrano,CA,92675,33.527016,-117.554765
14,Yerba Buena Nursery,https://www.yerbabuenanursery.com/,12511 San Mateo Road (Highway 92),Half Moon Bay,CA,94019,37.469453,-122.411841
15,Chelsea Nursery,,3347 G Rd.,Clifton,CO,81520,39.10582115,-108.43263591007
16,Fort Collins Nursery,,2121 East Mulberry,Fort Collins,CO,80524,40.579994,-105.037661
17,Gulley's Greenhouse & Garden Center,,6029 S Shields St.,Fort Collins,CO,80526,40.5012148024372,-105.096336170894
18,Harlequin Gardens,https://harlequinsgardens.com/,4795 North 26th St,Boudler,CO,80301,40.06158,-105.263942
19,High Plains Environmental Center,https://high-plains-environmental-center.square.site/,2698 Bluestem Willow Drive,Loveland,CO,80538,40.420292,-105.013106
20,Phalen Gardens,,4955 Austin Bluffs Parkway,Colorado Springs,CO,80918,38.9029009090909,-104.740904727273
21,Earth Tones Native Plants,,212 Grassy Hill Road,Woodbury,CT,6798,41.5362357,-73.2478993
22,Tiny Meadow Farm,https://tinymeadowfarm.com/,138 Long Ridge Road,Danbury,CT,6810,41.3434631,-73.442669
23,Urbanscapes Native Plant Nursery,https://menunkatuck.org/urbanscapes-native-plant-nursery/,133 Hazel Street,New Haven,CT,6511,41.3289788,-72.9318587
24,Florida Native Plants Nursery,http://www.floridanativeplants.com/,730 Myakka Road,Sarasota,FL,34240,27.3271259555943,-82.269507623545
25,Flat Creek Native Nursery,https://flatcreeknatives.square.site/,2419 Highway 41 South,Perry,GA,31069,32.440068,-83.748603
26,Native Forest Nursery,https://www.nativeforestnursery.com/,11306 HWY 411 SOUTH,Chatsworth,GA,30705,34.744142,-84.731404
27,Nearly Native Nursery,https://www.nearlynativenursery.com,776 McBride Rd,Fayetteville,GA,30215,33.382567,-84.47343
28,Ho'olawa Farms Native Plant Nursery,,3 Kahiapo Place,Haiku,HI,96708,20.9307005017911,-156.317313940054
29,Maui Native Nursery,https://www.mauinativenursery.com/,1267 Na'alae Rd,Kula,HI,96790,20.757492,-156.345848
30,AB Hatchery & Garden Center,,916 East Grove Street,Bloomington,IL,61701,40.4781587755102,-88.9811465102041
31,Boehm's Garden Center,,708 Macomb Road,Rushville,IL,62681,40.1271416363636,-90.5708971818182
32,Casey's Garden Shop & Florist,http://www.caseysgardenshop.com/,1505 N. Main,Bloomington,IL,61701,40.494535,-88.993867
33,"Country Road Greenhouses, LLC",http://prairieplugs.com/,19561 E. Twombly Rd.,Rochelle,IL,61068,41.9495967340183,-88.9704052463554
34,Good Earth Greenhouse,http://www.goodearthgreenhouse.com/,7900 Madison Street,River Forest,IL,60305,41.879565,-87.821793
35,Hidden Timber Gardens,https://www.hiddentimbergardens.com/,462 S. Chana Rd.,Chana,IL,61015,42.0080613151359,-89.2207720775676
36,Hoffie Nursery (Wholesale),,17102 Marengo Road,Union,IL,60180,42.1988582733917,-88.5268781787017
37,Lurvey Garden Center,https://www.lurveys.com/,2550 East Dempster Street,Des Plaines,IL,60016,42.0397585,-87.8610876
38,"Midwest Groundcovers, LLC",https://www.midwestgroundcovers.com,6N800 IL-25,St. Charles,IL,60174,41.972875,-88.284886
39,Natives Haven,http://www.nativeshaven.com/,13809 Durkee Road,Harvard,IL,60033,42.4286800545663,-88.4664238140724
40,"Natural Communities, LLC",https://naturalcommunities.net/,19 Circle Dr,Algonquin,IL,60102,42.1599789192646,-88.3004305849858
41,Owen Nursery & Florist,https://www.owennursery.com/,1700 Morrissey Dr.,Bloomington,IL,61704,40.4558687,-88.9678566
42,Pizzo Native Plant Nursery,https://www.pizzonursery.com/,10729 Pine Road,Leland,IL,60531,41.6743299549306,-88.7374649571727
43,Pleasant Prairie Nursery,http://www.pleasantprairienursery.com,24219 W Laura Rd,Williamsfield,IL,61489,40.9167672429002,-89.9777429498201
44,Possibility Place Nursery,https://www.possibilityplace.com,7548 W Monee Manhattan Rd,Monee,IL,60449,41.426673,-87.795777
45,Red Buffalo Nursery,http://www.redbuffalonursery.com/,5515 Hill Rd,Richmond,IL,60071,42.464867603868,-88.3060892027336
46,St. Aubin Nursery,http://staubin.com/,35445 Irene Road,Kirkland,IL,60146,42.1458271174843,-88.9007623780897
47,The Growing Place,http://thegrowingplace.com,25W471 Plank Rd,Naperville,IL,60563,41.787889,-88.1217429
48,Wendell Niepagen Greenhouses,http://www.niepagens.com/,2010 Fox Creek Rd,Bloomington,IL,61701,40.4502390290362,-89.017609283917
49,Naturally Native Nursery,https://www.naturallynative.net/,20525 Johnson Rd,South Bend,IN,46614,41.616666,-86.26362
50,US Perennials,https://www.usperennials.com/,2688 W Cedar Bluff Rd,Bloomington,IN,47403,39.0415304359511,-86.5570441085514
51,Blooming Prairie Iowa,https://www.bloomingprairieiowa.com/,17943 Cleveland Street,Carlisle,IA,50047,41.4688687415842,-93.4636614253099
52,Iowa DNR State Forest Nursery,,2404 South Duff Avenue,Ames,IA,50010,42.0014787067246,-93.6102694487801
53,Dropseed Native Plant Nursery,https://www.dropseednursery.com/,1205 S Buckeye Ln,Goshen,KY,40026,38.400204605013,-85.5489178299659
54,Ironweed Native Plant Nursery,https://www.ironweednursery.com/,114 Stults St.,Columbia,KY,42728,37.1073250637013,-85.3124888660077
55,"Michler's Florist, Greenhouses",https://www.michlers.com/,417 East Maxwell Street,Lexington,KY,40508,38.0381445555556,-84.4952083333333
56,"Roundstone Native Seed, LLC",https://roundstoneseed.com/,9764 Raider Hollow Road,Upton,KY,42784,37.4090243641554,-86.0024180979661
57,Springhouse Gardens,https://www.springhousegardens.com/,185 W. Catnip Hill Road,Nicholasville,KY,40356,37.948505,-84.59868
58,Almost Eden Plants,https://www.almostedenplants.com,1214 Smith Rd,Merryville,LA,70653,30.757201,-93.524566
59,5 Star Nursery and Orchard,https://www.5starorchard.com/,853 Bay Rd,Brooklin,ME,4616,44.3127369,-68.570436
60,Crystal Lake Farm & Nursery,https://crystallake.me/,246 Youngs Hill Road,Washington,ME,4574,44.2927612,-69.4005261
61,Native Haunts,https://nativehaunts.com/,297 Mountain Road,Alfred,ME,4002,43.480275,-70.768006
62,Rebel Hill Farm,https://rebelhillfarm.com/,44 Cox Hill Road Liberty,Liberty,ME,4949,44.374508842498,-69.3781744173115
63,Wild Seed Project,https://wildseedproject.net/,"21 Memorial Highway, Suite A",Yarmouth,ME,4097,43.831102245941,-70.2484858434682
64,Blue Water Baltimore's Herring Run Nursery,,6131 Hillen Road,Baltimore,MD,21239,39.37298585,-76.5773202608247
65,Chesapeake Natives,http://www.chesapeakenatives.org/,9640 Rosaryville Rd. Rosaryville State Park,Upper Marlboro,MD,20772,38.771533,-76.821765
66,Lauren's Garden Service and Native Plant Nursery,,13554 Triadelphia Rd,Ellicott City,MD,21042,39.2643310790681,-76.9835585787529
67,Native-By Design,,17817 Hollingsworth Dr,Derwood,MD,20855,39.1494006,-77.1276712722132
68,Blue Stem Natives,https://www.bluestemnatives.com/,376 Washington St.,Norwell,MA,2061,42.160881925,-70.86079415
69,Birdsfoot Native Nursery,https://www.birdsfootnativenursery.com,4276 Woodman Road,South Boardman,MI,49680,44.6123913748926,-85.2626269554993
70,Black Cap Farm,https://www.blackcapplants.com,5265 Crescent Beach Road,Onekama,MI,49675,44.3526268793237,-86.1955167319424
71,"Creating Sustainable Landscapes, LLC",http://www.creatingsustainablelandscapes.com,24291 Homestead Ct,Novi,MI,48374,42.4662722459244,-83.5035307544319
72,Dennis Greenhouse,,28148 9th St,Lake Linden,MI,49945,47.1970906,-88.4006775
73,"Designs by Nature - Upper Peninsula Native Plants, LLC",https://www.upnativeplants.com/,550 Little Lake Road,Marquette,MI,49855,46.4381011874233,-87.3201462066929
74,"Designs by Nature, LLC",,9874 Chadwick,Laingsburg,MI,48848,42.8718137,-84.3668168
75,Detroit Abloom,https://www.detroitabloom.com/,248 Manistique Street,Detroit,MI,48215,42.3630623673469,-82.9337386530612
76,"East Michigan Native Plants, LLC",https://eastmichnatives.com/,5320 S. New Lothrop Rd,Durand,MI,48429,42.8013085,-83.962977
77,Feral Flora,https://www.feral-flora.com,3825 Nixon Road,Ann Arbor,MI,48105,42.33007096,-83.7081924
