id,name,lat,lng
1,"Juneau, AK",58.4546,-134.1739
2,"Fairbanks, AK",64.8353,-147.6533
3,"Anchorage, AK",61.1508,-149.1091
4,"Montgomery, AL",32.3482,-86.2668
5,"Mobile, AL",30.6782,-88.1162
6,"Huntsville, AL",34.6981,-86.6412
7,"Birmingham, AL",33.5279,-86.7971
8,"Jonesboro, AR",35.8212,-90.6791
9,"Fayetteville, AR",36.0714,-94.1661
10,"Little Rock, AR",34.7256,-92.3577
11,"Flagstaff, AZ",35.1872,-111.6194
12,"Yuma, AZ",32.5995,-114.5491
13,"Tucson, AZ",32.1541,-110.8787
14,"Phoenix, AZ",33.5722,-112.0892
15,"Eureka, CA",40.7943,-124.1564
16,"Redding, CA",40.5698,-122.365
17,"Indio, CA",33.7346,-116.2346
18,"Bakersfield, CA",35.3529,-119.0359
19,"Fresno, CA",36.783,-119.7939
20,"Sacramento, CA",38.5677,-121.4685
21,"San Diego, CA",32.8313,-117.1222
22,"San Francisco, CA",37.7558,-122.4449
23,"Los Angeles, CA",34.1141,-118.4068
24,"Grand Junction, CO",39.0877,-108.5673
25,"Colorado Springs, CO",38.8674,-104.7605
26,"Denver, CO",39.762,-104.8758
27,"Bridgeport, CT",41.1918,-73.1954
28,"Washington, DC",38.9047,-77.0163
29,"Dover, DE",39.161,-75.5202
30,"Pensacola, FL",30.4413,-87.1911
31,"Cape Coral, FL",26.6443,-81.9957
32,"Jacksonville, FL",30.3322,-81.6749
33,"Orlando, FL",28.4773,-81.337
34,"Tampa, FL",27.9945,-82.4447
35,"Miami, FL",25.784,-80.2101
36,"Warner Robins, GA",32.5961,-83.6527
37,"Columbus, GA",32.51,-84.8771
38,"Savannah, GA",32.0286,-81.1821
39,"Augusta, GA",33.3645,-82.0708
40,"Atlanta, GA",33.7628,-84.422
41,"Kahului, HI",20.8715,-156.4603
42,"Hilo, HI",19.6883,-155.0863
43,"Honolulu, HI",21.3294,-157.846
44,"Sioux City, IA",42.4959,-96.3901
45,"Waterloo, IA",42.4918,-92.3522
46,"Davenport, IA",41.5565,-90.6053
47,"Des Moines, IA",41.5725,-93.6105
48,"Twin Falls, ID",42.5645,-114.4613
49,"Pocatello, ID",42.8724,-112.4647
50,"Coeur d'Alene, ID",47.704,-116.7936
51,"Boise, ID",43.6005,-116.2308
52,"Champaign, IL",40.1142,-88.2737
53,"Springfield, IL",39.7709,-89.654
54,"Peoria, IL",40.752,-89.6154
55,"Rockford, IL",42.2596,-89.064
56,"Chicago, IL",41.8375,-87.6866
57,"Evansville, IN",37.9881,-87.5341
58,"South Bend, IN",41.6767,-86.2696
59,"Fort Wayne, IN",41.0888,-85.1436
60,"Indianapolis, IN",39.7771,-86.1458
61,"Topeka, KS",39.0346,-95.6955
62,"Wichita, KS",37.6895,-97.3443
63,"Bowling Green, KY",36.9716,-86.4378
64,"Lexington, KY",38.0423,-84.4587
65,"Louisville, KY",38.1663,-85.6485
66,"Lafayette, LA",30.2082,-92.0325
67,"Shreveport, LA",32.4653,-93.7955
68,"New Orleans, LA",30.0687,-89.9288
69,"Boston, MA",42.3188,-71.0852
70,"Portland, ME",43.6773,-70.2715
71,"Alpena, MI",45.074,-83.4402
72,"Sault Ste. Marie, MI",46.4817,-84.3723
73,"Traverse City, MI",44.7546,-85.6038
74,"Marquette, MI",46.544,-87.4082
75,"Lansing, MI",42.7142,-84.5601
76,"Grand Rapids, MI",42.9619,-85.6562
77,"Detroit, MI",42.3834,-83.1024
78,"Bemidji, MN",47.4828,-94.8797
79,"Duluth, MN",46.7756,-92.1393
