scientific_name,title,author,license,original_url,card_url
Acer rubrum,"Acer rubrum, Red Maple",David Illig,CC BY-NC-SA 2.0,https://www.flickr.com/photos/14552479@N00/52445977206,https://live.staticflickr.com/65535/52445977206_db2f26c99e_z.jpg
Acer saccharum,acer saccharum,Antonio Sarabia,CC BY-NC 4.0,https://www.inaturalist.org/observations/139643838,https://inaturalist-open-data.s3.amazonaws.com/photos/238968822/medium.jpeg
Achillea millefolium,Achillea millefolium,anro0002,CC BY-SA 2.0,https://www.flickr.com/photos/74738817@N07/32147093328,https://live.staticflickr.com/4914/32147093328_6f898948c7_z.jpg
Achlys triphylla,achlys triphylla,Christopher J. Earle,CC BY-NC 4.0,https://www.inaturalist.org/observations/97965781,https://inaturalist-open-data.s3.amazonaws.com/photos/163013317/medium.jpg
Actaea pachypoda,Actaea pachypoda - Ranunculaceae,Kerry D Woods,CC BY-NC-ND 2.0,https://www.flickr.com/photos/93854456@N03/48644626978,https://live.staticflickr.com/65535/48644626978_1e94eea21f_z.jpg
Actaea racemosa,"160706 036 Wave Hill - Actaea racemosa Black Cohosh, foliage of Liquidambar styraciflua Sweet Gum Tree",cultivar413,CC BY 2.0,https://www.flickr.com/photos/131880272@N06/28204469216,https://live.staticflickr.com/8630/28204469216_e9680ed0a4_z.jpg
Adiantum capillus-veneris,adiantum capillus-veneris,Luke Armstrong,CC BY-NC 4.0,https://www.inaturalist.org/observations/22061827,https://inaturalist-open-data.s3.amazonaws.com/photos/34165053/medium.jpeg
Aesculus flava,aesculus flava,Cathy Bester,CC BY-NC 4.0,https://www.inaturalist.org/observations/315286577,https://inaturalist-open-data.s3.amazonaws.com/photos/570294360/medium.jpg
Aesculus glabra,aesculus glabra,sovergaard,CC BY-NC 4.0,https://www.inaturalist.org/observations/15062136,https://inaturalist-open-data.s3.amazonaws.com/photos/22489081/medium.jpg
Agastache cana,agastache cana,nikkiro,CC BY-NC 4.0,https://www.inaturalist.org/observations/136190354,https://inaturalist-open-data.s3.amazonaws.com/photos/232395938/medium.jpg
Agastache urticifolia,Agastache urticifolia - nettleleaf giant hyssop,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/52439843123,https://live.staticflickr.com/65535/52439843123_04567ac0cf_z.jpg
Agave shawii,agave shawii,dvalov,CC BY-NC 4.0,https://www.inaturalist.org/observations/198631105,https://inaturalist-open-data.s3.amazonaws.com/photos/350137345/medium.jpeg
Allium cernuum,allium cernuum,Brian Keener,CC BY-NC 4.0,https://www.inaturalist.org/observations/32247956,https://inaturalist-open-data.s3.amazonaws.com/photos/50562101/medium.jpg
Alnus incana,Alnus incana,anro0002,CC BY-SA 2.0,https://www.flickr.com/photos/74738817@N07/32099234226,https://live.staticflickr.com/713/32099234226_86402e29bc_z.jpg
Amelanchier alnifolia,amelanchier alnifolia,Dayan J Anderson,CC BY-NC 4.0,https://www.inaturalist.org/observations/12472278,https://inaturalist-open-data.s3.amazonaws.com/photos/17997627/medium.jpeg
Amelanchier arborea,amelanchier arborea,Benjamin McCullough,CC BY-NC 4.0,https://www.inaturalist.org/observations/52830933,https://inaturalist-open-data.s3.amazonaws.com/photos/84027738/medium.jpg
Amelanchier canadensis,amelanchier canadensis,Harry Podschwit,CC BY 4.0,https://www.inaturalist.org/observations/10911539,https://inaturalist-open-data.s3.amazonaws.com/photos/15340610/medium.jpg
Amelanchier laevis,Allegheny Serviceberry,dankeck,CC0,https://www.flickr.com/photos/140641142@N05/41909155292,https://live.staticflickr.com/963/41909155292_29d61651fc_z.jpg
Amelanchier utahensis,amelanchier utahensis,Dayan J Anderson,CC BY-NC 4.0,https://www.inaturalist.org/observations/12472278,https://inaturalist-open-data.s3.amazonaws.com/photos/17997627/medium.jpeg
Amorpha fruticosa,Amorpha fruticosa - false indigobush,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/52180158370,https://live.staticflickr.com/65535/52180158370_0260a7a055_z.jpg
Amsonia tabernaemontana,Amsonia tabernaemontana (Blue Star) 2020 photo,F. D. Richards,CC BY-SA 2.0,https://www.flickr.com/photos/50697352@N00/49948678373,https://live.staticflickr.com/65535/49948678373_f4ffca2c3d_z.jpg
Andropogon gerardii,Andropogon gerardii,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/20480230574,https://live.staticflickr.com/685/20480230574_28784fe2a1_z.jpg
Andropogon virginicus,andropogon virginicus,Matt Tomlinson,CC BY-NC 4.0,https://www.inaturalist.org/observations/139924338,https://inaturalist-open-data.s3.amazonaws.com/photos/239424434/medium.jpg
Anemone multifida,anemone multifida,Игорь Поспелов,CC BY-NC 4.0,https://www.inaturalist.org/observations/37460851,https://inaturalist-open-data.s3.amazonaws.com/photos/59390602/medium.jpeg
Angelica lucida,angelica lucida,Eva Ullström,CC BY-NC 4.0,https://www.inaturalist.org/observations/46157790,https://inaturalist-open-data.s3.amazonaws.com/photos/73201006/medium.jpeg
Antennaria neglecta,antennaria neglecta,"Charles Thomas Hash, Jr.",CC BY-NC-ND 4.0,https://www.inaturalist.org/observations/29041148,https://inaturalist-open-data.s3.amazonaws.com/photos/45306572/medium.jpeg
Antennaria parvifolia,Antennaria parvifolia - small-leaf pussytoes,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/52984450592,https://live.staticflickr.com/65535/52984450592_0a32c5889c_z.jpg
Aquilegia canadensis,"Aquilegia canadensis (wild columbine, red columbine)",jmlwinder,CC BY-NC-ND 2.0,https://www.flickr.com/photos/83833206@N00/26482589582,https://live.staticflickr.com/1629/26482589582_630ee7911c_z.jpg
Arctostaphylos glauca,arctostaphylos glauca,Diego Tamayo,CC BY-NC 4.0,https://www.inaturalist.org/observations/36139450,https://inaturalist-open-data.s3.amazonaws.com/photos/57090696/medium.jpeg
Arctostaphylos manzanita,arctostaphylos manzanita,Jeff Bisbee,CC BY-NC 4.0,https://www.inaturalist.org/observations/69007147,https://inaturalist-open-data.s3.amazonaws.com/photos/111877467/medium.jpg
Arisaema triphyllum,Jack In The Pulpit,matthewbeziat,CC BY-NC 2.0,https://www.flickr.com/photos/109690096@N08/40114003520,https://live.staticflickr.com/944/40114003520_970806cfa4_z.jpg
Aronia melanocarpa,Aronia melanocarpa 'Chokeberry} 5/2021 Chokeberry-,F. D. Richards,CC BY-SA 2.0,https://www.flickr.com/photos/50697352@N00/51159090469,https://live.staticflickr.com/65535/51159090469_d93bb4b83b_z.jpg
Aruncus dioicus,Aruncus dioicus - Rosaceae,Kerry D Woods,CC BY-NC-ND 2.0,https://www.flickr.com/photos/93854456@N03/51275271363,https://live.staticflickr.com/65535/51275271363_46578b88ab_z.jpg
Asarum canadense,Asarum canadense 01,Scott Zona,CC BY-NC 2.0,https://www.flickr.com/photos/12017190@N06/33826869718,https://live.staticflickr.com/65535/33826869718_e73a7a1382_z.jpg
Asclepias amplexicaulis,asclepias amplexicaulis,Connor Johanson,CC BY-NC 4.0,https://www.inaturalist.org/observations/83670318,https://inaturalist-open-data.s3.amazonaws.com/photos/137439080/medium.jpeg
Asclepias asperula,asclepias asperula,odinbriem0,CC BY-NC 4.0,https://www.inaturalist.org/observations/80316272,https://inaturalist-open-data.s3.amazonaws.com/photos/131630162/medium.jpg
Asclepias fascicularis,asclepias fascicularis,terrydad2,CC BY-NC 4.0,https://www.inaturalist.org/observations/30631479,https://inaturalist-open-data.s3.amazonaws.com/photos/47864975/medium.jpg
Asclepias incarnata,Swamp Milkweed (Asclepias incarnata),Mary Keim,CC BY-NC-SA 2.0,https://www.flickr.com/photos/38514062@N03/43045409845,https://live.staticflickr.com/1831/43045409845_a87e2f36c0_z.jpg
Asclepias lanceolata,asclepias lanceolata,Mark Fishbein,CC BY-NC 4.0,https://www.inaturalist.org/observations/13117820,https://inaturalist-open-data.s3.amazonaws.com/photos/19121513/medium.jpg
Asclepias oenotheroides,asclepias oenotheroides,Gabriel Ortiz,CC BY-NC 4.0,https://www.inaturalist.org/observations/82639159,https://inaturalist-open-data.s3.amazonaws.com/photos/135654335/medium.jpeg
Asclepias purpurascens,asclepias purpurascens,Nick Dorian,CC BY-NC 4.0,https://www.inaturalist.org/observations/14381420,https://inaturalist-open-data.s3.amazonaws.com/photos/21383970/medium.jpg
Asclepias speciosa,Showy Milkweed,Melinda Young Stuart,CC BY-NC-ND 2.0,https://www.flickr.com/photos/92033577@N00/29008059518,https://live.staticflickr.com/1821/29008059518_7f725dd72e_z.jpg
Asclepias sullivantii,asclepias sullivantii,Jason K.,CC BY-NC 4.0,https://www.inaturalist.org/observations/12917708,https://inaturalist-open-data.s3.amazonaws.com/photos/18764882/medium.jpg
Asclepias syriaca,Common Milkweed  (Asclepias Syriaca),Melinda Young Stuart,CC BY-NC-ND 2.0,https://www.flickr.com/photos/92033577@N00/27095333894,https://live.staticflickr.com/7313/27095333894_50f5161ba8_z.jpg
Asclepias texana,asclepias texana,Aidan Campos,CC BY-NC 4.0,https://www.inaturalist.org/observations/309574099,https://inaturalist-open-data.s3.amazonaws.com/photos/558642650/medium.jpg
Asclepias tuberosa,"Asclepias tuberosa, The Other Milkweed (“Butterfly Milkweed”)",David Illig,CC BY-NC-SA 2.0,https://www.flickr.com/photos/14552479@N00/48121304221,https://live.staticflickr.com/65535/48121304221_1b023e6803_z.jpg
Asclepias verticillata,"Asclepias verticillata (whorled milkweed), Barrington, RI",Doug_McGrady,CC BY 2.0,https://www.flickr.com/photos/150919437@N06/43097969004,https://live.staticflickr.com/1819/43097969004_0f990ff36d_z.jpg
Asimina triloba,asimina triloba,kenny407,CC BY-NC 4.0,https://www.inaturalist.org/observations/59874231,https://inaturalist-open-data.s3.amazonaws.com/photos/149852429/medium.jpeg
Asplenium rhizophyllum,asplenium rhizophyllum,Tom Norton,CC BY 4.0,https://www.inaturalist.org/observations/81678734,https://inaturalist-open-data.s3.amazonaws.com/photos/133985924/medium.jpeg
Aster divaricatus,aster divaricatus,M. Martin Vicente,CC BY 2.0,https://www.flickr.com/photos/32179778@N00/22371935678,https://live.staticflickr.com/676/22371935678_d4ca245ea7_z.jpg
Aster laevis,Stoke's Aster - Stokesia laevis 'Peachie's Pick' 110730,cultivar413,CC BY 2.0,https://www.flickr.com/photos/131880272@N06/21989501270,https://live.staticflickr.com/621/21989501270_9e46d4ed63_z.jpg
Aster novae,Aster novae-angliae 'Harrington's Pink',wallygrom,CC BY-SA 2.0,https://www.flickr.com/photos/33037982@N04/21374724684,https://live.staticflickr.com/712/21374724684_6514a8b8b6_z.jpg
Aster novae-angliae,aster novae-angliae,er-birds,CC BY 4.0,https://www.inaturalist.org/observations/188152678,https://inaturalist-open-data.s3.amazonaws.com/photos/329221589/medium.jpg
Aster oblongifolius,aster oblongifolius,Daniel Pohl,CC BY-NC 4.0,https://www.inaturalist.org/observations/196219717,https://inaturalist-open-data.s3.amazonaws.com/photos/345400446/medium.jpg
Athyrium filix,Athyrium x 'Ghost' is a hybrid of Athyrium filix-femina and Athyrium niponicum var pictum 140616,cultivar413,CC BY 2.0,https://www.flickr.com/photos/131880272@N06/21917390548,https://live.staticflickr.com/5830/21917390548_7a697ea7a5_z.jpg
Atriplex canescens,atriplex canescens,W. Terry Hunefeld,CC BY 4.0,https://www.inaturalist.org/observations/8623596,https://inaturalist-open-data.s3.amazonaws.com/photos/11538943/medium.jpg
Avicennia germinans,avicennia germinans,Chuck Sexton,CC BY-NC 4.0,https://www.inaturalist.org/observations/22512874,https://inaturalist-open-data.s3.amazonaws.com/photos/34878463/medium.jpg
Baptisia alba,Baptisia alba (wild white indigo),tgpotterfield,CC BY-NC-SA 2.0,https://www.flickr.com/photos/55770627@N04/27830075750,https://live.staticflickr.com/7349/27830075750_0112b93843_z.jpg
Baptisia tinctoria,Baptisia tinctoria with Pycnanthemum tenuifolium,dogtooth77,CC BY-NC-SA 2.0,https://www.flickr.com/photos/53817483@N00/19293010910,https://live.staticflickr.com/325/19293010910_e0da20af92_z.jpg
Berberis repens,Berberis repens - creeping barberry,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/52350632254,https://live.staticflickr.com/65535/52350632254_34211e6cdb_z.jpg
Betula alleghaniensis,betula alleghaniensis,Tom Norton,CC BY 4.0,https://www.inaturalist.org/observations/133318161,https://inaturalist-open-data.s3.amazonaws.com/photos/227070709/medium.jpeg
Betula lenta,betula lenta,Misha Zitser,CC BY-NC 4.0,https://www.inaturalist.org/observations/190218776,https://inaturalist-open-data.s3.amazonaws.com/photos/333393698/medium.jpg
Betula nigra,"Betula Nigra Abedul, 2015",F. D. Richards,CC BY-SA 2.0,https://www.flickr.com/photos/50697352@N00/20457912132,https://live.staticflickr.com/296/20457912132_a12063cce3_z.jpg
Bouteloua curtipendula,Bouteloua curtipendula,Matt Lavin,CC BY-SA 2.0,https://www.flickr.com/photos/35478170@N08/20915481469,https://live.staticflickr.com/600/20915481469_def87779cb_z.jpg
Bouteloua gracilis,bouteloua gracilis,,CC BY-NC 4.0,https://www.inaturalist.org/observations/27482260,https://inaturalist-open-data.s3.amazonaws.com/photos/42765201/medium.jpg
Bursera simaruba,bursera simaruba,Carmen Casas,CC BY-NC 4.0,https://www.inaturalist.org/observations/34450371,https://inaturalist-open-data.s3.amazonaws.com/photos/54222334/medium.jpeg
Callicarpa americana,callicarpa americana,pb1789,CC BY-NC 4.0,https://www.inaturalist.org/observations/91883460,https://inaturalist-open-data.s3.amazonaws.com/photos/156928881/medium.jpg
Caltha biflora,caltha biflora,ocotillo,CC BY-NC 4.0,https://www.inaturalist.org/observations/151416114,https://inaturalist-open-data.s3.amazonaws.com/photos/261253787/medium.jpeg
Caltha palustris,"Marsh Marigold - Caltha palustris, Julie Metz Wetlands, Woodbridge, Virginia",Judy Gallagher,CC BY 2.0,https://www.flickr.com/photos/52450054@N04/40664241444,https://live.staticflickr.com/892/40664241444_ccd14101c4_z.jpg
