scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Acacia farnesiana,,,,,,,,,,,,,,,,,,,,,,,,
Acacia greggii,,,,,,,,,,,,,,,,,,,,,,,,
Acacia koa,,,,,,,,,,,,,,,,,,,,,,,,
Acer circinatum,,,,,,,,,,,,,,,,,,,,,,,,
Acer glabrum,,,,,,,,,,,,,,,,,,,,,,,,
Acer grandidentatum,,,,,,,,,,,,,,,,,,,,,,,,
Acer macrophyllum,,,,,,,,,,,,,,,,,,,,,,,,
Acer negundo,,,,,,,,,,,,,,,,,,,,,,,,
Acer rubrum,,,,,,,,,,,,,,,,,,,,,,,,
Acer saccharinum,,,,,,,,,,,,,,,,,,,,,,,,
Acer saccharum,,,,,,,,,,,,,,,,,,,,,,,,
Achillea lanulosa,,,,,,,,,,,,,,,,,,,,,,,,
Achillea millefolium,,,,,,,,,,,,,,,,,,,,,,,,
Achlys triphylla,,,,,,,,,,,,,,,,,,,,,,,,
Actaea pachypoda,,,,,,,,,,,,,,,,,,,,,,,,
Actaea racemosa,,,,,,,,,,,,,,,,,,,,,,,,
Actaea rubra,,,,,,,,,,,,,,,,,,,,,,,,
Adenophorus periens,,,,,,,,,,,,,,,,,,,,,,,,
Adenostoma fasciculatum,,,,,,,,,,,,,,,,,,,,,,,,
Adenostoma sparsifolium,,,,,,,,,,,,,,,,,,,,,,,,
Adiantum aleuticum,,,,,,,,,,,,,,,,,,,,,,,,
Adiantum capillus-veneris,,,,,,,,,,,,,,,,,,,,,,,,
Adiantum jordanii,,,,,,,,,,,,,,,,,,,,,,,,
Adiantum pedatum,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus californica,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus flava,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus glabra,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus pavia,,,,,,,,,,,,,,,,,,,,,,,,
Agalinis edwardsiana,,,,,,,,,,,,,,,,,,,,,,,,
Agalinis heterophylla,,,,,,,,,,,,,,,,,,,,,,,,
Agalinis purpurea,,,,,,,,,,,,,,,,,,,,,,,,
Agastache cana,,,,,,,,,,,,,,,,,,,,,,,,
Agastache foeniculum,,,,,,,,,,,,,,,,,,,,,,,,
Agastache rupestris,,,,,,,,,,,,,,,,,,,,,,,,
Agastache urticifolia,,,,,,,,,,,,,,,,,,,,,,,,
Agave americana,,,,,,,,,,,,,,,,,,,,,,,,
Agave chrysantha,,,,,,,,,,,,,,,,,,,,,,,,
Agave deserti,,,,,,,,,,,,,,,,,,,,,,,,
Agave havardiana,,,,,,,,,,,,,,,,,,,,,,,,
Agave lechuguilla,,,,,,,,,,,,,,,,,,,,,,,,
Agave palmeri,,,,,,,,,,,,,,,,,,,,,,,,
Agave parryi,,,,,,,,,,,,,,,,,,,,,,,,
Agave parviflora,,,,,,,,,,,,,,,,,,,,,,,,
Agave schottii,,,,,,,,,,,,,,,,,,,,,,,,
Agave shawii,,,,,,,,,,,,,,,,,,,,,,,,
Agave toumeyana,,,,,,,,,,,,,,,,,,,,,,,,
Agave utahensis,,,,,,,,,,,,,,,,,,,,,,,,
Ageratina altissima,,,,,,,,,,,,,,,,,,,,,,,,
Ageratina jucunda,,,,,,,,,,,,,,,,,,,,,,,,
Agoseris grandiflora,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron smithii,,,,,,,,,,,,,,,,,,,,,,,,
Allium cernuum,,,,,,,,,,,,,,,,,,,,,,,,
Allium unifolium,,,,,,,,,,,,,,,,,,,,,,,,
Alnus incana,,,,,,,,,,,,,,,,,,,,,,,,
Alnus oblongifolia,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rhombifolia,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rubra,,,,,,,,,,,,,,,,,,,,,,,,
Alnus viridis,,,,,,,,,,,,,,,,,,,,,,,,
Aloysia gratissima,,,,,,,,,,,,,,,,,,,,,,,,
Aloysia wrightii,,,,,,,,,,,,,,,,,,,,,,,,
Amelanchier alnifolia,,,,,,,,,,,,,,,,,,,,,,,,
Amelanchier arborea,,,,,,,,,,,,,,,,,,,,,,,,
Amelanchier canadensis,,,,,,,,,,,,,,,,,,,,,,,,
Amelanchier laevis,,,,,,,,,,,,,,5,,,,,,,,,,
Amelanchier spicata,,,,,,,,,,,,,,,,,,,,,,,,
Amelanchier utahensis,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha canescens,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha fruticosa,,,,,,,,,,,,,,,,,,,,,,,,
Amsonia ciliata,,,,,,,,,,,,,,,,,,,,,,,,
Amsonia hubrichtii,,,,,,,,,,,,,,,,,,,,,,,,
Amsonia tabernaemontana,,,,,,,,,,,,,,,,,,,,,,,,
Amyris elemifera,,,,,,,,,,,,,,,,,,,,,,,,
Anaphalis margaritacea,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon gerardii,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon glomeratus,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon virginicus,,,,,,,,,,,,,,,,,,,,,,,,
Anemone multifida,,,,,,,,,,,,,,,,,,,,,,,,
Anemone oregana,,,,,,,,,,,,,,,,,,,,,,,,
Angelica lucida,,,,,,,,,,,,,,,,,,,,,,,,
Anisacanthus thurberi,,,,,,,,,,,,,,,,,,,,,,,,
Antennaria neglecta,,,,,,,,,,,,,,,,,,,,,,,,
Antennaria parvifolia,,,,,,,,,,,,,,,,,,,,,,,,
Antennaria plantaginifolia,,,,,,,,,,,,,,,,,,,,,,,,
Antennaria rosea,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia caerulea,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia canadensis,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia chrysantha,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia coerulea,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia elegantula,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia flavescens,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia formosa,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia pubescens,,,,,,,,,,,,,,,,,,,,,,,,
Aquilegia saximontana,,,,,,,,,,,,,,,,,,,,,,,,
Aralia nudicaulis,,,,,,,,,,,,,,,,,,,,,,,,
Aralia racemosa,,,,,,,,,,,,,,,,,,,,,,,,
Arbutus menziesii,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos densiflora,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos glauca,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos manzanita,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos pajaroensis,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos patula,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos pungens,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos uva-ursi,,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos viscida,,,,,,,,,,,,,,,,,,,,,,,,
Arisaema dracontium,,,,,,,,,,,,,,,,,,,,,,,,
Arisaema triphyllum,,,,,,,,,,,,,,,,,,,,,,,,
Aristida purpurea,,,,,,,,,,,,,,,,,,,,,,,,
Aristida stricta,,,,,,,,,,,,,,,,,,,,,,,,
Armeria maritima,,,,,,,,,,,,,,,,,,,,,,,,
Arnica cordifolia,,,,,,,,,,,,,,,,,,,,,,,,
